Product code,station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,A764,2017,3,18,21.1,1,Y
IDCJAC0010,A764,2017,3,19,18.9,1,Y
IDCJAC0010,A764,2017,3,20,18.9,1,Y
IDCJAC0010,A764,2017,3,21,17.3,1,Y
IDCJAC0010,A764,2017,3,22,18.1,1,Y
IDCJAC0010,A764,2017,3,23,19,1,Y
IDCJAC0010,A764,2017,3,24,20.9,1,Y
IDCJAC0010,A764,2017,3,25,22.4,1,Y
IDCJAC0010,A764,2017,3,26,20.5,1,Y
IDCJAC0010,A764,2017,3,27,20.6,1,Y
IDCJAC0010,A764,2017,3,28,18,1,Y
IDCJAC0010,A764,2017,3,29,18.1,1,Y
IDCJAC0010,A764,2017,3,30,16.8,1,Y
IDCJAC0010,A764,2017,3,31,17.2,1,Y
IDCJAC0010,A764,2017,4,1,15.1,1,Y
IDCJAC0010,A764,2017,4,2,15.7,1,Y
IDCJAC0010,A764,2017,4,3,18,1,Y
IDCJAC0010,A764,2017,4,4,19.3,1,Y
IDCJAC0010,A764,2017,4,5,20.7,1,Y
IDCJAC0010,A764,2017,4,6,21,1,Y
IDCJAC0010,A764,2017,4,7,22.2,1,Y
IDCJAC0010,A764,2017,4,8,21.1,1,Y
IDCJAC0010,A764,2017,4,9,20.8,1,Y
IDCJAC0010,A764,2017,4,10,21.1,1,Y
IDCJAC0010,A764,2017,4,11,22.2,1,Y
IDCJAC0010,A764,2017,4,12,21.5,1,Y
IDCJAC0010,A764,2017,4,13,18.5,1,Y
IDCJAC0010,A764,2017,4,14,19,1,Y
IDCJAC0010,A764,2017,4,15,20.7,1,Y
IDCJAC0010,A764,2017,4,16,20.5,1,Y
IDCJAC0010,A764,2017,4,17,20.7,1,Y
IDCJAC0010,A764,2017,4,18,18.4,1,Y
IDCJAC0010,A764,2017,4,19,18.1,1,Y
IDCJAC0010,A764,2017,4,20,20.5,1,Y
IDCJAC0010,A764,2017,4,21,20.7,1,Y
IDCJAC0010,A764,2017,4,22,17.1,1,Y
