Product code,station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,A764,2017,5,28,28.4,1,Y
IDCJAC0010,A764,2017,5,29,28,1,Y
IDCJAC0010,A764,2017,5,30,27.7,1,Y
IDCJAC0010,A764,2017,5,31,28.1,1,Y
IDCJAC0010,A764,2017,6,1,22.8,1,Y
IDCJAC0010,A764,2017,6,2,23.5,1,Y
IDCJAC0010,A764,2017,6,3,28.8,1,Y
IDCJAC0010,A764,2017,6,4,30.6,1,Y
IDCJAC0010,A764,2017,6,5,30,1,Y
IDCJAC0010,A764,2017,6,6,30.5,1,Y
IDCJAC0010,A764,2017,6,7,30.3,1,Y
IDCJAC0010,A764,2017,6,8,30.3,1,Y
IDCJAC0010,A764,2017,6,9,25,1,Y
IDCJAC0010,A764,2017,6,10,20.8,1,Y
IDCJAC0010,A764,2017,6,11,25.8,1,Y
IDCJAC0010,A764,2017,6,12,20.7,1,Y
IDCJAC0010,A764,2017,6,13,24.1,1,Y
IDCJAC0010,A764,2017,6,14,26.8,1,Y
IDCJAC0010,A764,2017,6,15,26.5,1,Y
IDCJAC0010,A764,2017,6,16,27.3,1,Y
IDCJAC0010,A764,2017,6,17,27.8,1,Y
IDCJAC0010,A764,2017,6,18,27.6,1,Y
IDCJAC0010,A764,2017,6,19,28.5,1,Y
IDCJAC0010,A764,2017,6,20,26.4,1,Y
IDCJAC0010,A764,2017,6,21,26.9,1,Y
IDCJAC0010,A764,2017,6,22,26.2,1,Y
IDCJAC0010,A764,2017,6,23,26.5,1,Y
IDCJAC0010,A764,2017,6,24,26.4,1,Y
IDCJAC0010,A764,2017,6,25,25.3,1,Y
IDCJAC0010,A764,2017,6,26,26.2,1,Y
IDCJAC0010,A764,2017,6,27,26.4,1,Y
IDCJAC0010,A764,2017,6,28,26.9,1,Y
IDCJAC0010,A764,2017,6,29,26.3,1,Y
IDCJAC0010,A764,2017,6,30,27.9,1,Y
IDCJAC0010,A764,2017,7,1,27.3,1,Y
IDCJAC0010,A764,2017,7,2,24.5,1,Y
IDCJAC0010,A764,2017,7,3,23.8,1,Y
IDCJAC0010,A764,2017,7,4,22.5,1,Y
IDCJAC0010,A764,2017,7,5,23.2,1,Y
IDCJAC0010,A764,2017,7,6,24.4,1,Y
IDCJAC0010,A764,2017,7,7,25.4,1,Y
IDCJAC0010,A764,2017,7,8,25,1,Y
IDCJAC0010,A764,2017,7,9,26,1,Y
IDCJAC0010,A764,2017,7,10,26.2,1,Y
IDCJAC0010,A764,2017,7,11,27.7,1,Y
IDCJAC0010,A764,2017,7,12,28,1,Y
IDCJAC0010,A764,2017,7,13,28.3,1,Y
IDCJAC0010,A764,2017,7,14,27.4,1,Y
IDCJAC0010,A764,2017,7,15,26.9,1,Y
IDCJAC0010,A764,2017,7,16,27.6,1,Y
